"id";"Startup";"Sector";"Business_Model";"Employee_count";"Employment_taxes";"Turnover";"Year_Founded";"Website"
481;"Mentornaut";"EdTech";"B2C";7;"  14.1K";"  16.3K";2020;"https://mentornaut.ee"
482;"GPO";"CleanTech";"B2B, B2C,";2;"  14K";"  111.6K";2020;"https://www.gpo-tech.com/"
484;"Futuclass";"EdTech";"B2G, B2C,";6;"  14K";"  16.7K";2019;"www.futuclass.com"
487;"Paul-Tech";"AgTech &";"B2B";5;"  13.8K";"  22.3K";2019;"https://paul-tech.com/"
489;"Eliis";"EdTech";"B2B, B2G,";7;"  13.7K";"  75.1K";2013;"www.eliis.ee"
491;"makeitneutral";"CleanTech";"B2B, B2C,";7;"  13.7K";"  10.4K";2021;"makeitneutral.org"
493;"JxBrowser";"Business";"B2B";3;"  13.7K";"  2.8M";2016;"https://www.teamdev.com/jxbrowser"
495;"CUPLOOP";"CleanTech";"B2B,";8;"  13.4K";"  13.1K";2018;"www.cuploop.com"
497;"Supervisely";"Business";"B2B";3;"  13.3K";"  193.3K";2020;"https://supervise.ly"
499;"Hundred5";"Business";"-";3;"  13.3K";"  226.7K";2017;"http://hundred5.com/"
501;"Scalacube";"Gaming";"B2C";2;"  13.3K";"  1.7M";2019;"https://scalacube.com"
502;"Dashbird";"Business";"-";6;"  13.3K";"  104.2K";2017;"https://dashbird.io/"
504;"Upty";"Consumer";"B2C";6;"  13.1K";"-";2018;"upty.ee"
507;"Geneto";"HealthTech, Life";"B2C,";5;"  13K";"  26.9K";2016;"https://geneto.com/"
510;"InstaComm";"Business";"B2B";4;"  12.8K";"  533.7K";2019;"https://instacomm.de/"
512;"Narayana";"CyberTech";"B2B, B2C";3;"  12.7K";"  93.6K";2015;"https://narayana.im"
513;"WePower";"CleanTech";"-";1;"  12.6K";"-";2018;"https://wepower.network/"
514;"Botguard";"CyberTech";"B2B";2;"  12.6K";"  2K";2019;"https://botguard.net"
517;"SOMA Smart Home";"Consumer";"B2B, B2C";8;"  12.4K";"  127.7K";2013;"www.somasmarthome.com"
520;"ExtendLaw OU";"Business";"B2B";5;"  12.4K";"  158.2K";2016;"http://extendlaw.com/"
522;"Modern Mobility";"Transportation";"B2G, B2C";7;"  12.2K";"  37.8K";2018;"https://www.modernmobility.eu/"
524;"Binalyze";"CyberTech";"B2B, B2C";2;"  12.1K";"  1.5M";2018;"www.binalyze.com"
525;"MyDello";"Transportation";"B2B";2;"  12.1K";"  586K";2018;"MyDello.com"
527;"PRNEWS.IO";"AdTech &";"B2B,";2;"  11.8K";"  798.9K";2018;"https://prnews.io"
529;"Adact";"AdTech &";"B2B";3;"  11.6K";"  42.9K";2019;"www.adact.me"
531;"Hausing";"PropTech &";"B2B, B2C,";2;"  11.5K";"  12.1K";2017;"www.hausing.ee"
533;"Joyixir";"Gaming";"B2C,";5;"  11.5K";"  83.6K";2020;"https://joyixir.com"
