,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
130,262,Solarstone,CleanTech,"B2B, B2C,",22,"38,300.00","466,500.00",2015,https://solarstone.com
131,264,Eurostep Digital,FinTech,B2B,6,"38,200.00","7,800.00",2017,www.eurostepdigital.com
132,266,Advendor,AdTech &,-,10,"37,800.00","530,300.00",2014,https://advendor.net/
133,268,Find Fashion,AdTech &,B2B,5,"37,500.00","58,000.00",2019,find.fashion
134,270,Woola,CleanTech,B2B,8,"37,300.00","26,200.00",2020,woola.xyz
135,271,Avokaado,Business,"B2B, B2C",9,"36,500.00","144,600.00",2015,www.avokaado.com
136,273,Nobe Cars,Advanced,"B2B, B2G,",8,"35,800.00","32,900.00",2017,www.mynobe.com
137,276,voog,Business,-,8,"34,900.00","164,000.00",2011,https://www.voog.com/en
138,278,Timbeter,Advanced,-,14,"34,900.00","201,100.00",2013,http://www.timbeter.com/
139,281,Mekl,Business,B2B,6,"34,800.00","331,500.00",2019,https://www.mekl.io/
140,283,Bidrento,PropTech &,B2B,9,"34,200.00","23,500.00",2019,https://bidrento.com/
141,286,Devolon,FinTech,"B2B, B2C",8,"34,100.00","377,300.00",2014,-
142,287,HIGH MOBILITY,Transportation,B2B2C,6,"33,600.00","110,700.00",2013,https://high-mobility.com/
143,289,Degritter,Consumer,B2B2C,13,"33,200.00","808,300.00",2015,https://degritter.com
144,292,99math,EdTech,"B2C,",10,"33,100.00",,2019,www.99math.com
145,294,FeelingStream,Business,"B2B,",22,"33,100.00","125,300.00",2015,https://www.feelingstream.com
146,296,Autobahn,Transportation,"B2B,",4,"32,500.00","96,000.00",2013,www.autobahn.tech
147,298,Lightyear,FinTech,-,4,"32,100.00",,2021,https://golightyear.com/
148,299,FleetGuru,Business,B2B,5,"31,900.00","12,900.00",2020,fleetguru.app
149,301,Sentinel dVPN,CyberTech,B2C,6,"31,800.00","194,300.00",2021,https://sentinel.co
150,302,Fairown,FinTech,B2B,9,"31,600.00",,2018,www.fairown.com
151,303,Coursy.io,Business,"B2B, B2G,",5,"31,300.00","72,000.00",2019,https://www.coursy.io/
152,305,Scanbro,Advanced,B2B,6,"30,700.00","29,000.00",2017,https://scanbro.com
153,308,Eziil Production,Advanced,B2B,10,"30,400.00","99,900.00",2016,www.eziil.com
154,311,PARSIQ,FinTech,"B2B, B2C",9,"29,900.00","838,400.00",2018,https://www.parsiq.net/
155,312,So.Fa.Dog,AdTech &,"B2B,",5,"29,400.00","16,400.00",2020,https://so.fa.dog
156,315,BLE Locking,Consumer,"B2B, B2C,",3,"29,000.00","72,000.00",2018,www.blelocking.com
157,318,DriveX,Transportation,"B2B,",7,"28,700.00","72,400.00",2019,www.drivex.ee
158,320,Fitlap OU,"HealthTech, Life",B2C,7,"28,600.00","225,300.00",2015,https://fitlap.ee
159,326,Mediamodifier,AdTech &,"B2B, B2C,",12,"28,400.00","117,900.00",2019,https://mediamodifier.com
160,328,DefSecIntel,CyberTech,"B2B, B2G",6,"28,200.00","348,800.00",2018,www.defsecintel.com
161,329,Thinnect,Communication,B2B,16,"28,000.00","150,200.00",2015,www.thinnect.com
162,330,Cachet,FinTech,B2B2C,5,"27,400.00","138,300.00",2018,www.cachet.me
163,331,Gridio,CleanTech,"B2C,",6,"27,300.00","21,600.00",2018,https://gridio.io/en
164,333,Rexplorer,CleanTech,"B2B, B2C",7,"27,200.00","45,600.00",2020,https://www.rexplorer.ee/
165,334,ViisTek Media OU,AdTech &,"B2C,",7,"27,200.00","146,400.00",2012,http://www.viistek.com/
166,336,Antegenes,"HealthTech, Life","B2B, B2C,",10,"27,000.00","7,300.00",2018,www.antegenes.com
167,339,REBELROAM OU,CyberTech,"B2B,",7,"27,000.00","327,700.00",2015,www.rebelroam.com
168,341,EFENCO,CleanTech,B2B,7,"27,000.00","52,500.00",2015,efenco.eu
169,342,Promoty,AdTech &,B2B,7,"26,700.00","270,900.00",2017,https://www.promoty.io
170,346,Citybee,Transportation,B2C,12,"26,600.00","1,400,000.00",2019,www.citybee.ee
171,348,Modash,AdTech &,B2B,8,"26,000.00","290,500.00",2018,https://www.modash.io/
172,350,IPDx,"HealthTech, Life","B2B, B2C",8,"26,000.00","67,800.00",2017,www.ipdx.eu
173,353,ProBit Exchange,FinTech,"B2B, B2C",8,"25,600.00",,2020,www.probit.com
174,354,Income,FinTech,"B2B, B2C",8,"25,300.00","125,600.00",2020,www.getincome.com
175,355,Crowdestate,FinTech,"B2B, B2C",4,"25,300.00","333,300.00",2019,www.crowdestate.eu
176,356,Moderan Solutions,PropTech &,B2B,6,"24,700.00","58,800.00",2015,https://www.moderansolutions.com
177,358,Liigu,TravelTech,B2C,11,"24,700.00","875,700.00",2021,https://liigu.me
178,359,Airobot,CleanTech,"B2B, B2C",7,"24,600.00","239,300.00",2013,www.airobot.ee
179,362,Superhands,CleanTech,"B2B, B2C,",12,"24,200.00","105,600.00",2014,https://superhands.ee/en/
180,364,Lydian,AdTech &,"B2B,",8,"23,900.00","65,000.00",2018,getlydian.com
181,366,Viseven,Business,-,5,"23,600.00","7,500,000.00",2014,https://viseven.com
182,368,10Lines,Advanced,B2B,9,"23,400.00","7,300.00",2019,www.10-lines.com
183,371,Mothership,FinTech,"B2B, B2C",2,"23,200.00",,2017,https://mothership.cx
184,374,Hanse Digital Access,FinTech,B2B2C,5,"23,100.00","15,400.00",2018,www.hansedigitalaccess.com
185,375,Elsavie,"HealthTech, Life","B2B, B2C",8,"23,000.00","82,700.00",2020,www.elsavie.com
186,378,Machineric,Business,B2B,8,"22,900.00","14,000.00",2020,https://machineric.com
187,380,Mikaels Lab,Business,-,4,"22,300.00","426,400.00",2018,https://mikaels.com/
188,382,SoftComply,"HealthTech, Life",B2B,4,"22,200.00","155,900.00",2016,https://softcomply.com/
189,385,RecruitLab,Business,"B2B, B2G",5,"22,100.00","42,700.00",2020,https://recruitlab.co.uk
190,387,Kriptomat,FinTech,B2C,3,"22,100.00","555,500.00",2018,https://kriptomat.io/
191,388,Envoice,FinTech,-,9,"21,300.00","98,200.00",2015,https://envoice.eu/et/
192,389,Dermtest OU,"HealthTech, Life","B2B, B2G,",8,"21,100.00","31,700.00",2013,www.dermtest.com
193,392,Siffi,"HealthTech, Life","B2B,",7,"21,000.00","111,400.00",2018,www.siffi.com
194,395,Videolevels OU,Consumer,B2B,4,"20,900.00","139,900.00",2016,www.videolevels.com
195,398,LoQuiz,TravelTech,B2B,7,"20,800.00","108,000.00",2011,loquiz.com
196,399,Patchstack,CyberTech,B2B,4,"20,700.00","72,200.00",2017,https://www.patchstack.com/
197,400,Hygify,"HealthTech, Life","B2B,",8,"20,700.00","59,700.00",2018,www.hygify.info
198,404,GuestJoy,TravelTech,"B2B,",6,"20,700.00","110,000.00",2014,https://guestjoy.com/
199,406,Gratitude Services,Consumer,"B2B, B2C",13,"20,600.00","17,800.00",2019,https://gratitudeservices.com
